Timestamp, pitch, roll, yaw
1.5659683504840097e+18,-4.870000076294e+01,0.000000000000e+00,0.000000000000e+00
1.5659686082510664e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.5659686083714176e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.56596860841084e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.565968608430726e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.5659686084640323e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.5659686084706476e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.565968608493533e+18,-4.859999847412e+01,0.000000000000e+00,9.600000381470e+00
1.5659686085106184e+18,-4.859999847412e+01,0.000000000000e+00,9.600000381470e+00
1.5659686085311964e+18,-4.859999847412e+01,0.000000000000e+00,9.600000381470e+00
1.565968608551081e+18,-4.859999847412e+01,0.000000000000e+00,9.600000381470e+00
1.5659686085706808e+18,-4.859999847412e+01,0.000000000000e+00,9.600000381470e+00
1.5659686085956403e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.565968608610626e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686086306355e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686086529997e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.565968608670676e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.565968608693531e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686087106399e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686087306404e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686087505677e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686087734828e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.56596860879359e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686088106376e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686088306514e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686088534218e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686088706537e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.565968608893533e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686089107753e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686089310523e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686089506342e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.56596860897072e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.56596860899357e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.565968609010647e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686090308585e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686090508652e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686090708388e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.565968609093586e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.565968609110853e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.565968609130656e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.565968609150844e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686091706575e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686091935652e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686092106335e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686092309542e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686092508672e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686092706248e+18,-4.840000152588e+01,0.000000000000e+00,9.500000000000e+00
1.5659686092941386e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686093107036e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686093306578e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686093506327e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.5659686093712955e+18,-4.850000000000e+01,0.000000000000e+00,9.500000000000e+00
1.565968609393547e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.565968609410772e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.5659686094306575e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.5659686094508472e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.565968609470629e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.565968609493571e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.565968609510607e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.5659686095306483e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.5659686095508557e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
1.5659686095706102e+18,-4.859999847412e+01,0.000000000000e+00,9.500000000000e+00
