Timestamp, latitude, longitude, altitude
1.565968608430709e+18,4.37818080728030309956e+01,-7.94666313310990375385e+01,1.77341278076171875000e+02
1.565968608463905e+18,4.37818080873059543023e+01,-7.94666313255221723466e+01,1.77344482421875000000e+02
1.5659686084706227e+18,4.37818081144683972639e+01,-7.94666313641329935535e+01,1.77347076416015625000e+02
1.5659686084934956e+18,4.37818081338403715108e+01,-7.94666313656043428182e+01,1.77351745605468750000e+02
1.5659686085105526e+18,4.37818081487504002780e+01,-7.94666313663162782177e+01,1.77352966308593750000e+02
1.5659686085311747e+18,4.37818081689007669866e+01,-7.94666313671231421267e+01,1.77352203369140625000e+02
1.5659686085510592e+18,4.37818081891358161784e+01,-7.94666313684520986271e+01,1.77354888916015625000e+02
1.565968608570636e+18,4.37818082096998040242e+01,-7.94666313703861959539e+01,1.77359466552734375000e+02
1.5659686085955988e+18,4.37818082357125675230e+01,-7.94666313731746214444e+01,1.77365692138671875000e+02
1.565968608610609e+18,4.37818082514237971736e+01,-7.94666313747053010275e+01,1.77372741699218750000e+02
1.5659686086306184e+18,4.37818082725837953717e+01,-7.94666313771021464163e+01,1.77377395629882812500e+02
1.5659686086529795e+18,4.37818082939913253426e+01,-7.94666313795820826726e+01,1.77377517700195312500e+02
1.565968608670631e+18,4.37818083331814520420e+01,-7.94666314157960442799e+01,1.77375366210937500000e+02
1.5659686086934963e+18,4.37818083555855892541e+01,-7.94666314186556661525e+01,1.77374740600585937500e+02
1.5659686087106245e+18,4.37818083724464983675e+01,-7.94666314204711170532e+01,1.77375473022460937500e+02
1.565968608730623e+18,4.37818083952219154753e+01,-7.94666314227255980995e+01,1.77377166748046875000e+02
1.5659686087505523e+18,4.37818084180136182226e+01,-7.94666314250393810426e+01,1.77378677368164062500e+02
1.5659686087734546e+18,4.37818084405056850983e+01,-7.94666314273531924073e+01,1.77376815795898437500e+02
1.565968608793539e+18,4.37818084686028612396e+01,-7.94666314292279736264e+01,1.77376678466796875000e+02
1.5659686088106217e+18,4.37818084853139524171e+01,-7.94666314301060197067e+01,1.77376174926757812500e+02
1.5659686088306158e+18,4.37818085070862466068e+01,-7.94666314312095352079e+01,1.77373046875000000000e+02
1.5659686088533373e+18,4.37818085287119842519e+01,-7.94666314326096738796e+01,1.77374984741210937500e+02
1.5659686088706383e+18,4.37818085468170252739e+01,-7.94666314871323464786e+01,1.77380950927734375000e+02
1.5659686088934984e+18,4.37818085594407193639e+01,-7.94666314934092810063e+01,1.77385437011718750000e+02
1.5659686089107587e+18,4.37818085720904761615e+01,-7.94666314996980673868e+01,1.77387344360351562500e+02
