Timestamp, x, y, z, w
1.6046097453378872e+18,-5.481860853531e-03,-3.454304625197e-03,-2.876985923031e-03,9.999748696508e-01
1.6046097453908506e+18,-5.675290023228e-03,-3.340610577020e-03,-2.990445192844e-03,9.999738439788e-01
1.6046097454108347e+18,-5.712979278436e-03,-3.192725779598e-03,-3.036764584504e-03,9.999739728767e-01
1.6046097454308923e+18,-5.507249228427e-03,-2.972914624679e-03,-3.015354113678e-03,9.999758695209e-01
1.604609745452092e+18,-5.488199799553e-03,-2.921545700321e-03,-2.995882202309e-03,9.999761841782e-01
1.6046097454708618e+18,-5.851431617921e-03,-2.667600355572e-03,-2.995587299919e-03,9.999748352399e-01
1.6046097454778765e+18,-5.970714521337e-03,-2.517184166676e-03,-3.067616050563e-03,9.999743017117e-01
1.604609745490825e+18,-6.064805513051e-03,-2.375283260986e-03,-3.021043933975e-03,9.999742243963e-01
1.6046097455108703e+18,-6.009338476738e-03,-2.276369949129e-03,-2.988043047076e-03,9.999748884795e-01
1.6046097455389934e+18,-6.494747460156e-03,-2.071850094049e-03,-2.945432401222e-03,9.999724246801e-01
1.6046097456109076e+18,-6.280553455023e-03,-1.542922570708e-03,-3.108119422146e-03,9.999742564846e-01
1.6046097456779556e+18,-6.548392817390e-03,-7.886613489036e-04,-3.075160393546e-03,9.999735196261e-01
1.6046097457322924e+18,-6.848268947316e-03,-1.178088994495e-03,-3.092440599363e-03,9.999710746466e-01
1.6046097457709097e+18,-7.205387225037e-03,-1.316757415035e-03,-3.104536805268e-03,9.999683546973e-01
1.6046097457979566e+18,-7.126643455107e-03,-1.048395880779e-03,-3.156714475460e-03,9.999690730082e-01
1.6046097458194112e+18,-7.147090689330e-03,-1.190909912431e-03,-3.107866461897e-03,9.999689205142e-01
1.6046097458378552e+18,-6.872376198828e-03,-1.446802784318e-03,-3.092524854184e-03,9.999705563151e-01
1.604609745854943e+18,-6.904363896163e-03,-1.479893373511e-03,-3.118023794049e-03,9.999702083574e-01
1.6046097458579592e+18,-6.857391742146e-03,-1.468553205006e-03,-3.057795881427e-03,9.999707342789e-01
1.6046097458725635e+18,-6.913278950494e-03,-1.385053418901e-03,-3.073558873364e-03,9.999704202810e-01
1.6046097458779628e+18,-7.087822703887e-03,-1.534063819819e-03,-3.011602793885e-03,9.999691693578e-01
1.6046097458979072e+18,-6.963198249807e-03,-1.698446303267e-03,-3.017461339032e-03,9.999697615815e-01
1.6046097459109798e+18,-6.683963348876e-03,-1.807234267364e-03,-3.006039607091e-03,9.999715107262e-01
1.6046097459182456e+18,-6.628769746423e-03,-1.884702477851e-03,-3.066098864514e-03,9.999715527684e-01
