Timestamp, latitude, longitude, altitude
1.6046097456098906e+18,4.37817409367157637234e+01,-7.94662948141019853665e+01,1.57827346801757812500e+02
1.6046097456519997e+18,4.37817409191350819242e+01,-7.94662948244132252285e+01,1.57827880859375000000e+02
1.6046097456891407e+18,4.37817408994178833836e+01,-7.94662948382960507843e+01,1.57828613281250000000e+02
1.604609745710259e+18,4.37817408912235492835e+01,-7.94662948451425279472e+01,1.57829040527343750000e+02
1.6046097457318556e+18,4.37817408830683021392e+01,-7.94662948521610559283e+01,1.57829360961914062500e+02
1.604609745749125e+18,4.37817409100288230661e+01,-7.94662948135858329124e+01,1.57829284667968750000e+02
1.6046097457696428e+18,4.37817409041338549969e+01,-7.94662948123162067304e+01,1.57829162597656250000e+02
1.604609745789179e+18,4.37817408980304492161e+01,-7.94662948110228626319e+01,1.57828994750976562500e+02
1.6046097458093235e+18,4.37817408900966711371e+01,-7.94662948091836796038e+01,1.57828765869140625000e+02
1.6046097458293844e+18,4.37817408825667442329e+01,-7.94662948076055357660e+01,1.57828552246093750000e+02
1.6046097458543777e+18,4.37817408750368173287e+01,-7.94662948065079746129e+01,1.57828445434570312500e+02
1.604609745869224e+18,4.37817408656830338032e+01,-7.94662948053569948570e+01,1.57828353881835937500e+02
1.604609745889806e+18,4.37817408581531140044e+01,-7.94662948051671378380e+01,1.57828216552734375000e+02
1.604609745910084e+18,4.37817408504733691643e+01,-7.94662948055349858123e+01,1.57827972412109375000e+02
1.604609745930046e+18,4.37817408426503220653e+01,-7.94662948063596559223e+01,1.57827621459960937500e+02
1.6046097459492626e+18,4.37817408874390494589e+01,-7.94662947562035526516e+01,1.57827194213867187500e+02
1.6046097459692541e+18,4.37817408862470287545e+01,-7.94662947533142585144e+01,1.57826644897460937500e+02
1.604609745989038e+18,4.37817408857454637428e+01,-7.94662947516946047699e+01,1.57826126098632812500e+02
1.6046097460091456e+18,4.37817408855370260312e+01,-7.94662947505732972786e+01,1.57825653076171875000e+02
1.6046097460291297e+18,4.37817408854523435480e+01,-7.94662947495706504242e+01,1.57825164794921875000e+02
1.6046097460520358e+18,4.37817408849898654921e+01,-7.94662947489002391421e+01,1.57824523925781250000e+02
1.6046097460690975e+18,4.37817408834851846677e+01,-7.94662947488527748874e+01,1.57823638916015625000e+02
1.604609746090862e+18,4.37817408825667442329e+01,-7.94662947491375462050e+01,1.57822525024414062500e+02
1.6046097461103708e+18,4.37817408809643566769e+01,-7.94662947493630014151e+01,1.57821304321289062500e+02
1.6046097461304394e+18,4.37817408799807736841e+01,-7.94662947491553524060e+01,1.57820083618164062500e+02
1.6046097461507003e+18,4.37817409095598293334e+01,-7.94662946903076630178e+01,1.57818557739257812500e+02
1.6046097461692424e+18,4.37817409073386301088e+01,-7.94662946865225165993e+01,1.57817001342773437500e+02
1.6046097461893432e+18,4.37817409050978980645e+01,-7.94662946825949916274e+01,1.57815444946289062500e+02
1.6046097462091804e+18,4.37817409019843069018e+01,-7.94662946773681682089e+01,1.57813858032226562500e+02
1.6046097462292165e+18,4.37817408988576985962e+01,-7.94662946722066152461e+01,1.57812225341796875000e+02
1.6046097462518912e+18,4.37817408956464078074e+01,-7.94662946664458473833e+01,1.57810501098632812500e+02
1.6046097462693133e+18,4.37817408922787834058e+01,-7.94662946602401092377e+01,1.57808654785156250000e+02
1.6046097462891779e+18,4.37817408886831813675e+01,-7.94662946547225885752e+01,1.57806610107421875000e+02
1.6046097463124017e+18,4.37817408837913362163e+01,-7.94662946488846841930e+01,1.57804443359375000000e+02
1.6046097463299448e+18,4.37817408794987557030e+01,-7.94662946440553668026e+01,1.57802185058593750000e+02
1.6046097463491786e+18,4.37817409140934188372e+01,-7.94662945990608164948e+01,1.57800552368164062500e+02
1.604609746372731e+18,4.37817409136895676625e+01,-7.94662945951926218413e+01,1.57798889160156250000e+02
1.6046097463892285e+18,4.37817409131228671981e+01,-7.94662945908319926502e+01,1.57797210693359375000e+02
1.6046097464097728e+18,4.37817409129274537349e+01,-7.94662945842643608785e+01,1.57795684814453125000e+02
1.6046097464292946e+18,4.37817409132401138550e+01,-7.94662945767355921589e+01,1.57794372558593750000e+02
1.6046097464520207e+18,4.37817409130902959191e+01,-7.94662945729207876866e+01,1.57793182373046875000e+02
1.6046097464690086e+18,4.37817409118526796874e+01,-7.94662945665786111249e+01,1.57792129516601562500e+02
1.6046097464893693e+18,4.37817409107648813915e+01,-7.94662945626629522167e+01,1.57791152954101562500e+02
1.604609746509835e+18,4.37817409095337737313e+01,-7.94662945574835930529e+01,1.57790222167968750000e+02
1.6046097465299948e+18,4.37817409078532193689e+01,-7.94662945515211021075e+01,1.57789505004882812500e+02
1.6046097465498737e+18,4.37817409680861118204e+01,-7.94662944932548214183e+01,1.57788467407226562500e+02
1.6046097465691213e+18,4.37817409741699776760e+01,-7.94662944827537387482e+01,1.57787750244140625000e+02
1.604609746589966e+18,4.37817409788403537618e+01,-7.94662944744714963008e+01,1.57787094116210937500e+02
1.6046097466099072e+18,4.37817409860120179133e+01,-7.94662944608794106216e+01,1.57786514282226562500e+02
1.6046097466293258e+18,4.37817409914640478519e+01,-7.94662944509715885033e+01,1.57786010742187500000e+02
1.6046097466524232e+18,4.37817409953983727178e+01,-7.94662944442259657762e+01,1.57785568237304687500e+02
1.6046097466690614e+18,4.37817410009676493132e+01,-7.94662944333629610583e+01,1.57785202026367187500e+02
1.6046097466892457e+18,4.37817410038793042304e+01,-7.94662944269436479772e+01,1.57784835815429687500e+02
1.6046097467127173e+18,4.37817410083282183564e+01,-7.94662944166086617770e+01,1.57784454345703125000e+02
1.6046097467301548e+18,4.37817410118195979862e+01,-7.94662944083383138150e+01,1.57784103393554687500e+02
1.6046097467499023e+18,4.37817410567516276387e+01,-7.94662943708132019083e+01,1.57783172607421875000e+02
1.6046097467698557e+18,4.37817410586536510664e+01,-7.94662943678467854625e+01,1.57782318115234375000e+02
