Timestamp, x, y, z, w
1.5659686797396864e+18,1.197020770071e-02,-6.989799595670e-03,8.178487690181e-01,5.752662408353e-01
1.565968679751737e+18,1.207269817837e-02,-6.766742377709e-03,8.178703047270e-01,5.752361478576e-01
1.5659686797597028e+18,1.183366348975e-02,-6.764790068242e-03,8.178566191531e-01,5.752605953228e-01
1.5659686797717033e+18,1.163227675221e-02,-6.889025859970e-03,8.178867778041e-01,5.752203492172e-01
1.5659686797797038e+18,1.145256633539e-02,-6.868294493928e-03,8.178934213666e-01,5.752147568868e-01
1.565968679793826e+18,1.127624435282e-02,-6.989770547391e-03,8.179043504397e-01,5.752012369187e-01
1.5659686797996877e+18,1.112489451661e-02,-6.864669703108e-03,8.179091635427e-01,5.751988466824e-01
1.5659686798119578e+18,1.124154268991e-02,-6.544009223574e-03,8.179786307254e-01,5.751015243745e-01
1.5659686798196675e+18,1.116304561557e-02,-6.552061698718e-03,8.179037289488e-01,5.752094810344e-01
1.5659686798316923e+18,1.155838617777e-02,-6.544063084186e-03,8.179934494057e-01,5.750741653706e-01
1.5659686798397975e+18,1.110906541358e-02,-6.315876466104e-03,8.179554888496e-01,5.751395627419e-01
1.5659686798517565e+18,1.109445189600e-02,-6.185540772084e-03,8.178291610409e-01,5.753208805298e-01
1.565968679865914e+18,1.090051434152e-02,-6.350188918511e-03,8.177696820883e-01,5.754073348029e-01
1.5659686798723328e+18,1.066767966370e-02,-6.405149120934e-03,8.177690464339e-01,5.754119927235e-01
1.565968679879766e+18,1.045467749408e-02,-6.430684909470e-03,8.177297211087e-01,5.754715016623e-01
1.5659686798944765e+18,1.023208662508e-02,-6.615309572870e-03,8.177320694476e-01,5.754700727922e-01
1.5659686798997074e+18,1.018019983977e-02,-6.680441170217e-03,8.177588617832e-01,5.754321673421e-01
1.5659686799117704e+18,1.039880016004e-02,-6.477247760170e-03,8.176955584666e-01,5.755205329792e-01
1.565968679919703e+18,1.039457703851e-02,-6.248943521130e-03,8.176945209072e-01,5.755246075985e-01
1.5659686799317407e+18,1.044552852672e-02,-6.142059586334e-03,8.176840324834e-01,5.755397371680e-01
1.5659686799397376e+18,1.048904614109e-02,-5.988920129792e-03,8.177060617068e-01,5.755092609114e-01
1.5659686799517494e+18,1.065678878981e-02,-5.693078780186e-03,8.177249543401e-01,5.754823374841e-01
1.5659686799597606e+18,1.076245830846e-02,-5.560195205686e-03,8.177526082324e-01,5.754423737001e-01
