Timestamp, acc x, acc y, acc z, angular vel x, angular vel y, angular vel z
1.5659686797359818e+18,-7.653646591607e-02,8.902809444489e-01,9.993204037540e+00,-5.935136228800e-02,9.263465553522e-02,7.236582040787e-02
1.5659686797398239e+18,-6.506548276203e-02,8.291050223660e-01,9.951731659703e+00,1.623240709305e-01,7.027696818113e-03,-9.254551678896e-02
1.5659686797410322e+18,-7.828662985260e-02,7.912310089827e-01,9.969915207691e+00,-1.150903180242e-01,-6.033237650990e-02,-5.670781433582e-02
1.5659686797439775e+18,-9.574886826688e-02,7.887817567320e-01,9.977068681405e+00,-1.663015186787e-01,-1.321369875222e-02,6.689839065075e-02
1.565968679751536e+18,-8.457202225348e-02,7.450387735154e-01,9.948813687749e+00,2.604556381702e-01,4.895773902535e-02,3.040594421327e-02
1.5659686797524744e+18,-1.204178821910e-01,6.575552913330e-01,9.905290779941e+00,-3.566052913666e-01,-3.392080590129e-02,1.799533888698e-02
1.565968679753884e+18,-1.941110041476e-01,6.720259801248e-01,9.901256356378e+00,3.704829514027e-02,7.695712149143e-02,3.276038542390e-02
1.5659686797559928e+18,-1.505083445773e-01,6.618106670998e-01,9.886722611451e+00,2.695285975933e-01,6.674197316170e-02,-1.138941943645e-02
1.5659686797598062e+18,-2.039308098061e-01,6.626270358059e-01,9.815172676547e+00,-3.376492261887e-01,-1.545456610620e-02,-1.970651559532e-03
1.5659686797611136e+18,-1.381421177491e-01,7.066614801134e-01,9.909914409380e+00,-2.425067126751e-01,-1.210189145058e-02,1.660870574415e-02
1.5659686797639053e+18,-1.734396249529e-01,7.135383982417e-01,9.832959913440e+00,3.614839315414e-01,5.953962355852e-02,-2.743013761938e-02
1.5659686797714893e+18,-1.277323664199e-01,7.555890220231e-01,9.848825216882e+00,1.100867986679e-03,6.903703510761e-02,-6.336856633425e-03
1.5659686797798822e+18,-1.144454597450e-01,8.223542165072e-01,9.880635319798e+00,-3.493335247040e-01,3.612050414085e-02,6.490895897150e-02
1.5659686797810355e+18,-9.346405151011e-02,8.231577986275e-01,9.853957387106e+00,2.319617420435e-01,-8.806493878365e-02,-2.246853895485e-02
1.5659686797839565e+18,-8.898377796503e-02,8.732306532972e-01,9.857919328995e+00,1.426966637373e-01,1.479187607765e-02,-4.680038988590e-02
1.565968679793896e+18,-3.692701143643e-02,8.803750668012e-01,9.857171131058e+00,-7.897479832172e-02,-1.963759213686e-02,4.153822362423e-02
1.5659686797949565e+18,-5.383810233474e-03,8.555208665811e-01,9.824725059896e+00,2.208045125008e-02,1.234351992607e-01,-1.032799668610e-02
1.5659686797962222e+18,2.264826756468e-02,8.795394816832e-01,9.935665278065e+00,-3.522467613220e-02,1.600268632174e-01,1.204325724393e-02
1.5659686797997437e+18,3.801573442085e-02,8.913806638971e-01,9.869027730241e+00,9.138436615467e-02,-1.163451448083e-01,2.775353565812e-02
1.5659686798015939e+18,2.147813056158e-02,9.160239219840e-01,9.915315463238e+00,-4.500448703766e-03,-1.388484388590e-01,1.362788304687e-02
1.5659686798068564e+18,4.032062611738e-02,9.057988180876e-01,9.888756774592e+00,-1.877470612526e-01,1.562895327806e-01,-4.464532062411e-02
1.5659686798116964e+18,2.730769944390e-02,8.706605495438e-01,9.935100622435e+00,-7.241658866405e-02,7.253056764603e-02,-3.064208105206e-02
1.565968679814812e+18,-2.375622522751e-02,8.482577204943e-01,9.863385850172e+00,-1.448987424374e-01,1.846874058247e-01,-5.876144021749e-02
1.5659686798159928e+18,-2.009548963513e-02,8.359910007037e-01,9.869796971245e+00,5.460973829031e-02,4.637182503939e-02,-3.150900080800e-02
1.565968679819775e+18,-8.604556667196e-02,8.284235338740e-01,9.836116373487e+00,9.221344441175e-02,-1.042473018169e-01,7.869652658701e-02
1.5659686798211525e+18,-3.428056263234e-02,8.030155648878e-01,9.855228154540e+00,-7.661102712154e-02,4.166904091835e-02,5.777657032013e-03
1.565968679823996e+18,-6.374066460339e-02,7.710056259020e-01,9.883090344279e+00,-9.817890077829e-02,1.138937622309e-01,-1.028511673212e-01
1.5659686798328676e+18,-1.276123643118e-01,7.243369987795e-01,9.922152121887e+00,-9.457479417324e-02,2.362406998873e-02,-2.626219205558e-02
1.5659686798340567e+18,-1.415932720663e-01,7.256293207435e-01,9.912542454634e+00,-9.172184765339e-02,-4.612935706973e-03,-5.402247235179e-02
1.5659686798361761e+18,-1.616536807898e-01,7.214603092308e-01,9.911143090680e+00,8.374840766191e-02,8.625508844852e-02,3.341388702393e-02
1.565968679841296e+18,-1.649639817308e-01,7.240334817648e-01,9.973443428588e+00,8.518897742033e-02,6.994847953320e-02,3.459230065346e-04
1.5659686798448248e+18,-1.557965476818e-01,7.225335787129e-01,9.959611119227e+00,-1.852773725986e-01,-1.312527805567e-02,1.823479123414e-02
1.5659686798528758e+18,-5.270282704460e-02,7.295002952069e-01,9.939769845185e+00,-1.207876577973e-01,-1.133890450001e-01,-1.303321123123e-02
1.5659686798539154e+18,-9.731052139506e-02,7.469703517051e-01,9.885588623953e+00,-1.344038099051e-01,1.880316436291e-02,7.129488140345e-02
1.565968679856364e+18,-4.119601405038e-02,8.173213432553e-01,9.966648856072e+00,9.771188348532e-02,1.645827889442e-01,-5.371916294098e-02
1.5659686798662815e+18,-6.050274487156e-02,8.933199871045e-01,9.901976496892e+00,-7.108265161514e-02,2.803708612919e-02,7.084842026234e-02
1.5659686798715034e+18,-4.171093899533e-02,9.104784893055e-01,9.997264180408e+00,-6.637861952186e-03,2.037597149611e-01,-9.308779239655e-02
1.565968679872866e+18,-6.270250343269e-02,9.233026311724e-01,9.981410567558e+00,-2.320873178542e-02,-1.117441058159e-01,8.927882462740e-02
1.5659686798739464e+18,-1.180419153437e-01,9.493201184389e-01,9.944515056789e+00,5.517476797104e-02,2.908098325133e-02,-1.315464824438e-02
1.5659686798760748e+18,-8.188017193640e-02,9.114053341132e-01,9.977497726159e+00,7.091350853443e-02,1.372554451227e-01,-1.003980487585e-01
1.5659686798798738e+18,-1.181438974991e-01,9.050390756902e-01,9.910106135101e+00,1.301442086697e-02,2.699642255902e-02,2.814116701484e-02
1.5659686798810112e+18,-8.757307048267e-02,8.690803467329e-01,9.925266495800e+00,5.660495534539e-02,-1.655061542988e-01,6.738526374102e-02
1.565968679888042e+18,-9.863073638279e-02,8.684880720769e-01,9.962710295370e+00,4.375356808305e-02,-2.128482609987e-02,-5.471164733171e-02
1.5659686798914442e+18,-1.343797196660e-01,8.639869746634e-01,9.943098156946e+00,-1.923179626465e-01,1.938866078854e-01,-4.240082576871e-02
1.5659686798957934e+18,-2.084633622207e-01,8.719888200806e-01,9.945636184635e+00,5.828037112951e-02,1.738449186087e-02,-6.827869266272e-02
1.5659686798960346e+18,-2.296651655290e-01,8.809648572062e-01,9.972243973770e+00,-1.898075193167e-01,2.763586640358e-01,4.991809278727e-02
1.565968679899875e+18,-2.311057022895e-01,8.981492248437e-01,9.944755883000e+00,-7.602885365486e-03,-3.563424944878e-02,4.038612172008e-02
1.5659686799011471e+18,-2.500273285451e-01,8.949465138893e-01,1.002777078223e+01,2.093415558338e-01,-2.382549643517e-01,-7.946033775806e-02
1.565968679908537e+18,-2.812665652028e-01,8.954759516092e-01,9.981767130637e+00,-2.547951042652e-02,1.168077513576e-01,-9.253755211830e-03
1.5659686799127936e+18,-2.106319306456e-01,8.396259713256e-01,9.964696527081e+00,1.885367333889e-01,-1.102243512869e-01,-8.628708124161e-02
1.565968679915566e+18,-2.083882866953e-01,8.356190206552e-01,9.920087563205e+00,6.861305981874e-02,2.188651412725e-01,6.004841998219e-02
1.5659686799198034e+18,-1.530427280897e-01,8.462305717087e-01,9.844133782005e+00,9.875302761793e-02,-9.023410826921e-02,-4.706675186753e-02
1.565968679921001e+18,-1.063360517411e-01,8.552143538520e-01,9.876701435332e+00,1.068667769432e-01,1.340360939503e-02,-2.512322925031e-02
1.5659686799239478e+18,-8.171151686920e-02,8.263466270030e-01,9.807859041712e+00,-7.186348736286e-02,8.807399868965e-02,2.766624093056e-02
1.565968679931489e+18,-3.076556671869e-02,8.660449573874e-01,9.822576328945e+00,-2.329345047474e-02,-9.000241011381e-02,-3.478637896478e-03
1.565968679933949e+18,-3.852969123859e-02,8.477078242370e-01,9.856760791252e+00,-1.157801877707e-02,6.730109453201e-02,3.449206240475e-03
1.5659686799359757e+18,-3.129820108503e-02,8.393793728845e-01,9.862069489427e+00,8.184729516506e-02,-1.096484810114e-01,1.117112487555e-02
