Timestamp, vel x, vel y, vel z
1.5659686797516375e+18,6.732740253210e-02,-5.953151732683e-02,-1.093815267086e-02
1.5659686797716314e+18,6.448702514172e-02,-6.101657450199e-02,-1.121023669839e-02
1.5659686797937024e+18,6.363686174154e-02,-6.124875321984e-02,-9.441409260035e-03
1.5659686798117576e+18,6.555216014385e-02,-5.969343706965e-02,-1.214206404984e-02
1.5659686798316273e+18,6.346166133881e-02,-5.944387242198e-02,-1.294458284974e-02
1.5659686798515564e+18,6.282413750887e-02,-5.723409354687e-02,-1.095078699291e-02
1.5659686798716042e+18,6.223835423589e-02,-5.692931637168e-02,-9.912980720401e-03
1.565968679894324e+18,6.123759225011e-02,-5.914542451501e-02,-6.428468972445e-03
1.5659686799116134e+18,5.911640077829e-02,-6.095331907272e-02,-5.782756954432e-03
1.5659686799315932e+18,5.486189574003e-02,-6.388346850872e-02,-5.156246945262e-03
1.5659686799515602e+18,5.186175182462e-02,-6.608576327562e-02,-5.162505432963e-03
1.5659686799715707e+18,5.149449780583e-02,-6.854338943958e-02,-7.055724039674e-03
1.565968679993698e+18,5.118450149894e-02,-6.882017850876e-02,-1.092848554254e-02
1.5659686800197494e+18,5.258442834020e-02,-6.784632802010e-02,-1.256335247308e-02
1.565968680031567e+18,5.189245566726e-02,-6.930093467236e-02,-1.401235722005e-02
1.565968680051571e+18,5.334338545799e-02,-7.088965177536e-02,-1.414036937058e-02
1.56596868007157e+18,5.415149778128e-02,-7.106930017471e-02,-1.921343617141e-02
1.565968680094257e+18,5.117910727859e-02,-7.336539775133e-02,-2.326280437410e-02
1.5659686801143946e+18,5.285108834505e-02,-7.331544160843e-02,-2.303213812411e-02
1.5659686801315855e+18,5.107371881604e-02,-7.349325716496e-02,-2.261716686189e-02
1.565968680152959e+18,4.690318182111e-02,-7.287751138210e-02,-2.291639335454e-02
1.565968680171774e+18,4.458850622177e-02,-7.334926724434e-02,-2.176304347813e-02
1.5659686801936965e+18,4.616837948561e-02,-7.292594760656e-02,-2.149909920990e-02
1.5659686802116764e+18,5.096499621868e-02,-6.967056542635e-02,-2.244922891259e-02
1.5659686802316137e+18,5.079952254891e-02,-6.793517619371e-02,-2.662832476199e-02
1.5659686802516242e+18,5.075634643435e-02,-6.780539453030e-02,-2.573897317052e-02
1.5659686802717343e+18,5.186911299825e-02,-6.890831887722e-02,-2.780528366566e-02
1.565968680300619e+18,4.874927923083e-02,-7.018130272627e-02,-3.011528775096e-02
1.5659686803115674e+18,4.930319264531e-02,-7.018083333969e-02,-2.836377918720e-02
