Timestamp, latitude, longitude, altitude
1.5659686797516375e+18,4.37818663557883027693e+01,-7.94663079753210297440e+01,1.77306396484375000000e+02
1.5659686797716314e+18,4.37818663510299899144e+01,-7.94663079717969367266e+01,1.77303298950195312500e+02
1.5659686797937024e+18,4.37818663446220668334e+01,-7.94663079678219474999e+01,1.77302383422851562500e+02
1.5659686798117576e+18,4.37818663407300832091e+01,-7.94663079654250879003e+01,1.77302398681640625000e+02
1.5659686798316273e+18,4.37818663345183836100e+01,-7.94663079606669526811e+01,1.77305770874023437500e+02
1.5659686798515564e+18,4.37818663296965624454e+01,-7.94663079567750259002e+01,1.77314788818359375000e+02
1.5659686798716042e+18,4.37818663259951037503e+01,-7.94663080119265714529e+01,1.77327224731445312500e+02
1.565968679894324e+18,4.37818663226388835596e+01,-7.94663080159727570617e+01,1.77335968017578125000e+02
1.5659686799116134e+18,4.37818663178081024512e+01,-7.94663080213123009798e+01,1.77340789794921875000e+02
1.5659686799315932e+18,4.37818663139869599377e+01,-7.94663080253703526523e+01,1.77341766357421875000e+02
1.5659686799515602e+18,4.37818663070489719757e+01,-7.94663080330474258517e+01,1.77342834472656250000e+02
1.5659686799715707e+18,4.37818663010408286596e+01,-7.94663080395972656333e+01,1.77343658447265625000e+02
1.565968679993698e+18,4.37818662946451198081e+01,-7.94663080459691286705e+01,1.77343917846679687500e+02
1.5659686800197494e+18,4.37818662882160225536e+01,-7.94663080520918043703e+01,1.77346313476562500000e+02
1.565968680031567e+18,4.37818662819603545699e+01,-7.94663080575500089253e+01,1.77347808837890625000e+02
1.565968680051571e+18,4.37818662754620504529e+01,-7.94663080627708922066e+01,1.77347808837890625000e+02
1.56596868007157e+18,4.37818662314321755957e+01,-7.94663081228229657427e+01,1.77348876953125000000e+02
1.565968680094257e+18,4.37818662147251558281e+01,-7.94663081303932301580e+01,1.77349945068359375000e+02
1.5659686801143946e+18,4.37818661976900074251e+01,-7.94663081383076246311e+01,1.77350372314453125000e+02
1.5659686801315855e+18,4.37818661849140440268e+01,-7.94663081438014273772e+01,1.77346481323242187500e+02
1.565968680152959e+18,4.37818661635749180050e+01,-7.94663081530328980762e+01,1.77340805053710937500e+02
1.565968680171774e+18,4.37818661466228178369e+01,-7.94663081611015513772e+01,1.77336105346679687500e+02
1.5659686801936965e+18,4.37818661296593134580e+01,-7.94663081693363011482e+01,1.77336608886718750000e+02
1.5659686802116764e+18,4.37818661128252770709e+01,-7.94663081768235457503e+01,1.77342193603515625000e+02
1.5659686802316137e+18,4.37818661005981013545e+01,-7.94663081814630061217e+01,1.77348266601562500000e+02
1.5659686802516242e+18,4.37818660807025850090e+01,-7.94663081884399957744e+01,1.77356689453125000000e+02
1.5659686802717343e+18,4.37818660658169775957e+01,-7.94663082734574004462e+01,1.77361190795898437500e+02
1.565968680300619e+18,4.37818660564070185615e+01,-7.94663082879572328920e+01,1.77364685058593750000e+02
1.5659686803115674e+18,4.37818660468211788839e+01,-7.94663083027774348466e+01,1.77370712280273437500e+02
1.5659686803315653e+18,4.37818660396267134161e+01,-7.94663083136226475744e+01,1.77371810913085937500e+02
1.5659686803515776e+18,4.37818660297518320590e+01,-7.94663083282173943189e+01,1.77370483398437500000e+02
1.5659686803744015e+18,4.37818660198223952307e+01,-7.94663083427765428723e+01,1.77369873046875000000e+02
1.5659686803936914e+18,4.37818660082474124806e+01,-7.94663083601953132984e+01,1.77369033813476562500e+02
1.5659686804153344e+18,4.37818660016025518189e+01,-7.94663083703760548815e+01,1.77368164062500000000e+02
1.5659686804320404e+18,4.37818659930328593077e+01,-7.94663083823010225615e+01,1.77368515014648437500e+02
1.5659686804521725e+18,4.37818659846374202971e+01,-7.94663083926241426980e+01,1.77368209838867187500e+02
1.5659686804719424e+18,4.37818659692364136049e+01,-7.94663084891512170316e+01,1.77365783691406250000e+02
1.5659686804942275e+18,4.37818659602986954837e+01,-7.94663085042561903037e+01,1.77364181518554687500e+02
1.565968680511572e+18,4.37818659533574532361e+01,-7.94663085154217725403e+01,1.77363967895507812500e+02
1.5659686805317596e+18,4.37818659441290591872e+01,-7.94663085296368336685e+01,1.77361923217773437500e+02
1.5659686805522243e+18,4.37818659325263936921e+01,-7.94663085451689710226e+01,1.77359497070312500000e+02
1.565968680571547e+18,4.37818659257455564671e+01,-7.94663085535105153667e+01,1.77360626220703125000e+02
1.565968680593715e+18,4.37818659149506004269e+01,-7.94663085672865463494e+01,1.77363265991210937500e+02
1.5659686806115277e+18,4.37818659069980924414e+01,-7.94663085767197259202e+01,1.77364044189453125000e+02
1.5659686806340808e+18,4.37818658995349352381e+01,-7.94663085845035936927e+01,1.77363281250000000000e+02
1.5659686806515855e+18,4.37818658940959295478e+01,-7.94663085895583662932e+01,1.77360824584960937500e+02
1.565968680671945e+18,4.37818658508916840333e+01,-7.94663086545228054547e+01,1.77360610961914062500e+02
1.5659686806957302e+18,4.37818658399973941187e+01,-7.94663086557449673819e+01,1.77359268188476562500e+02
1.5659686807143227e+18,4.37818658254350339121e+01,-7.94663086567298222462e+01,1.77354873657226562500e+02
1.5659686807318781e+18,4.37818658143705690122e+01,-7.94663086568247365449e+01,1.77351333618164062500e+02
1.5659686807541343e+18,4.37818657996510651742e+01,-7.94663086558873601462e+01,1.77350189208984375000e+02
1.5659686807747756e+18,4.37818657850227523909e+01,-7.94663086543329626465e+01,1.77347930908203125000e+02
1.5659686807937e+18,4.37818657666294797082e+01,-7.94663086518055763463e+01,1.77344863891601562500e+02
1.5659686808148803e+18,4.37818657555723476094e+01,-7.94663086488985044298e+01,1.77343215942382812500e+02
1.5659686808355604e+18,4.37818657369869157492e+01,-7.94663086427164842007e+01,1.77346237182617187500e+02
1.5659686808550856e+18,4.37818657219571889527e+01,-7.94663086367006030741e+01,1.77350234985351562500e+02
1.565968680871671e+18,4.37818656905347367569e+01,-7.94663086540600431817e+01,1.77354385375976562500e+02
1.5659686808940925e+18,4.37818656773980734442e+01,-7.94663086407111904919e+01,1.77357192993164062500e+02
