Timestamp, pos x, pos y, pos z, ori x, ori y, ori z, ori w
1.5659686797396864e+18,4.908834026968e-02,1.713377859623e-01,1.032034618265e-01,-6.215343840247e-01,7.268153302826e-01,-2.234491789307e-01,-1.884275711685e-01
1.5659686797597028e+18,4.908834026968e-02,1.713377859623e-01,1.032034618265e-01,-6.215343840247e-01,7.268153302826e-01,-2.234491789307e-01,-1.884275711685e-01
1.5659686797797038e+18,4.941309183414e-02,1.715001624040e-01,1.030020260831e-01,-6.212809535369e-01,7.268298901100e-01,-2.234024901703e-01,-1.892607064361e-01
1.5659686797996877e+18,4.941309183414e-02,1.715001624040e-01,1.030020260831e-01,-6.212809535369e-01,7.268298901100e-01,-2.234024901703e-01,-1.892607064361e-01
1.5659686798196675e+18,4.964273567547e-02,1.713931503774e-01,1.031365698961e-01,-6.212383923515e-01,7.270016944382e-01,-2.228431683409e-01,-1.893998903811e-01
1.5659686798397975e+18,4.951268693596e-02,1.714385354471e-01,1.030794744767e-01,-6.212719153068e-01,7.269155721806e-01,-2.231237409336e-01,-1.892901328761e-01
1.5659686798517565e+18,4.951268693596e-02,1.714385354471e-01,1.030794744767e-01,-6.212719153068e-01,7.269155721806e-01,-2.231237409336e-01,-1.892901328761e-01
1.565968679879766e+18,4.939001922135e-02,1.715201374600e-01,1.029769318985e-01,-6.212795200274e-01,7.268058555874e-01,-2.234806154139e-01,-1.892654770753e-01
1.5659686798997074e+18,4.939001922135e-02,1.715201374600e-01,1.029769318985e-01,-6.212795200274e-01,7.268058555874e-01,-2.234806154139e-01,-1.892654770753e-01
1.565968679919703e+18,4.982497798417e-02,1.716621616242e-01,1.028000571173e-01,-6.209850197934e-01,7.268798469409e-01,-2.232402903464e-01,-1.902289832530e-01
1.5659686799397376e+18,4.960140140700e-02,1.716843407898e-01,1.027718200607e-01,-6.210775128013e-01,7.267722991893e-01,-2.235899588400e-01,-1.899270347518e-01
1.5659686799597606e+18,4.960140140700e-02,1.716843407898e-01,1.027718200607e-01,-6.210775128013e-01,7.267722991893e-01,-2.235899588400e-01,-1.899270347518e-01
1.5659686799797018e+18,4.923920261467e-02,1.717129859383e-01,1.027345083084e-01,-6.212315073641e-01,7.266027709377e-01,-2.241395880127e-01,-1.894235270743e-01
1.5659686799996774e+18,4.923920261467e-02,1.717129859383e-01,1.027345083084e-01,-6.212315073641e-01,7.266027709377e-01,-2.241395880127e-01,-1.894235270743e-01
1.5659686799996774e+18,4.873989226737e-02,1.718529681805e-01,1.025553441996e-01,-6.220144547102e-01,7.257511707283e-01,-2.249724233933e-01,-1.891313433318e-01
1.5659686800318052e+18,4.873989226737e-02,1.718529681805e-01,1.025553441996e-01,-6.220144547102e-01,7.257511707283e-01,-2.249724233933e-01,-1.891313433318e-01
1.5659686800597215e+18,4.873989226737e-02,1.718529681805e-01,1.025553441996e-01,-6.220144547102e-01,7.257511707283e-01,-2.249724233933e-01,-1.891313433318e-01
1.5659686800796828e+18,4.831476474456e-02,1.722164873461e-01,1.020929569535e-01,-6.219893469662e-01,7.253047345988e-01,-2.264054363768e-01,-1.892164702349e-01
1.565968680099714e+18,4.831476474456e-02,1.722164873461e-01,1.020929569535e-01,-6.219893469662e-01,7.253047345988e-01,-2.264054363768e-01,-1.892164702349e-01
1.5659686801197125e+18,4.811435454823e-02,1.722893841055e-01,1.019984357041e-01,-6.214054501787e-01,7.257089576782e-01,-2.270118688918e-01,-1.888581123916e-01
1.5659686801396836e+18,4.763071776579e-02,1.724328484872e-01,1.018100031141e-01,-6.215441752981e-01,7.253979105794e-01,-2.280005476264e-01,-1.884050417640e-01
1.5659686801530972e+18,4.763071776579e-02,1.724328484872e-01,1.018100031141e-01,-6.215441752981e-01,7.253979105794e-01,-2.280005476264e-01,-1.884050417640e-01
1.5659686801797202e+18,4.749110246614e-02,1.725381058603e-01,1.016742432354e-01,-6.215445052583e-01,7.252596663073e-01,-2.284387941727e-01,-1.884053123666e-01
1.5659686801997647e+18,4.749110246614e-02,1.725381058603e-01,1.016742432354e-01,-6.215445052583e-01,7.252596663073e-01,-2.284387941727e-01,-1.884053123666e-01
1.5659686802197071e+18,4.682462882141e-02,1.730546575636e-01,1.010036899087e-01,-6.221684334971e-01,7.240409081496e-01,-2.304036152601e-01,-1.886408698052e-01
1.5659686802398508e+18,4.682462882141e-02,1.730546575636e-01,1.010036899087e-01,-6.221684334971e-01,7.240409081496e-01,-2.304036152601e-01,-1.886408698052e-01
1.5659686802599764e+18,4.601445170926e-02,1.731444343207e-01,1.008696416288e-01,-6.224917572838e-01,7.236219340733e-01,-2.317072411354e-01,-1.875821501293e-01
1.5659686802799324e+18,4.578613856958e-02,1.732027916754e-01,1.007887019477e-01,-6.225619596586e-01,7.234776524802e-01,-2.321544744750e-01,-1.873525893310e-01
1.5659686802799324e+18,4.551613030087e-02,1.732677033721e-01,1.006977114017e-01,-6.226473625583e-01,7.233096108837e-01,-2.326739072272e-01,-1.870730381376e-01
1.5659686803197048e+18,4.551613030087e-02,1.732677033721e-01,1.006977114017e-01,-6.226473625583e-01,7.233096108837e-01,-2.326739072272e-01,-1.870730381376e-01
1.5659686803397012e+18,4.533379151936e-02,1.731355474482e-01,1.008615238197e-01,-6.221824167534e-01,7.238749419976e-01,-2.327654296814e-01,-1.863179094344e-01
1.5659686803596836e+18,4.533379151936e-02,1.731355474482e-01,1.008615238197e-01,-6.221824167534e-01,7.238749419976e-01,-2.327654296814e-01,-1.863179094344e-01
1.5659686803796995e+18,4.510742053263e-02,1.732250800158e-01,1.007396620014e-01,-6.222321471893e-01,7.237064619903e-01,-2.332853766200e-01,-1.861559693723e-01
1.5659686803996767e+18,4.510742053263e-02,1.732250800158e-01,1.007396620014e-01,-6.222321471893e-01,7.237064619903e-01,-2.332853766200e-01,-1.861559693723e-01
1.5659686804196836e+18,4.455521933200e-02,1.732373912633e-01,1.007049599842e-01,-6.224799368342e-01,7.234534270006e-01,-2.340601908415e-01,-1.853367051158e-01
