timestamp,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1770789527.57996106,46624676,0,224,80,-528,5,13,-18,0,0,0,1,46624676
1770789527.57996106,46624676,1,224,80,-528,5,13,-18,0,0,0,1,46624676
1770789527.57996106,46624676,2,224,80,-528,5,13,-18,0,0,0,1,46624676
1770789527.67992115,46724636,0,224,80,-528,5,13,-18,0,0,0,1,46724636
1770789527.67992115,46724636,1,224,80,-528,5,13,-18,0,0,0,1,46724636
1770789527.67992115,46724636,2,224,80,-528,5,13,-18,0,0,0,1,46724636
1770789527.77988100,46824596,0,224,80,-528,5,13,-18,0,0,0,1,46824596
1770789527.77988100,46824596,1,224,80,-528,5,13,-18,0,0,0,1,46824596
1770789527.77988100,46824596,2,224,80,-528,5,13,-18,0,0,0,1,46824596
1770789527.87984109,46924556,0,224,80,-528,5,13,-18,0,0,0,1,46924556
1770789527.87984109,46924556,1,224,80,-528,5,13,-18,0,0,0,1,46924556
1770789527.87984109,46924556,2,224,80,-528,5,13,-18,0,0,0,1,46924556
1770789527.97980118,47024516,0,224,80,-528,5,13,-18,0,0,0,1,47024516
1770789527.97980118,47024516,1,224,80,-528,5,13,-18,0,0,0,1,47024516
1770789527.97980118,47024516,2,224,80,-528,5,13,-18,0,0,0,1,47024516
1770789528.07976103,47124476,0,224,80,-528,5,13,-18,0,0,0,1,47124476
1770789528.07976103,47124476,1,224,80,-528,5,13,-18,0,0,0,1,47124476
1770789528.07976103,47124476,2,224,80,-528,5,13,-18,0,0,0,1,47124476
1770789528.17972112,47224436,0,224,80,-528,5,13,-18,0,0,0,1,47224436
1770789528.17972112,47224436,1,224,80,-528,5,13,-18,0,0,0,1,47224436
1770789528.17972112,47224436,2,224,80,-528,5,13,-18,0,0,0,1,47224436
1770789528.27968097,47324396,0,224,80,-528,5,13,-18,0,0,0,1,47324396
1770789528.27968097,47324396,1,224,80,-528,5,13,-18,0,0,0,1,47324396
1770789528.27968097,47324396,2,224,80,-528,5,13,-18,0,0,0,1,47324396
1770789528.37964106,47424356,0,224,80,-528,5,13,-18,0,0,0,1,47424356
1770789528.37964106,47424356,1,224,80,-528,5,13,-18,0,0,0,1,47424356
1770789528.37964106,47424356,2,224,80,-528,5,13,-18,0,0,0,1,47424356
1770789528.47960114,47524316,0,224,80,-528,5,13,-18,0,0,0,1,47524316
1770789528.47960114,47524316,1,224,80,-528,5,13,-18,0,0,0,1,47524316
1770789528.47960114,47524316,2,224,80,-528,5,13,-18,0,0,0,1,47524316
1770789528.58039403,47625109,0,224,80,-528,5,13,-18,0,0,0,1,47625109
1770789528.58039403,47625109,1,224,80,-528,5,13,-18,0,0,0,1,47625109
1770789528.58039403,47625109,2,224,80,-528,5,13,-18,0,0,0,1,47625109
1770789528.68035412,47725069,0,224,80,-528,5,13,-18,0,0,0,1,47725069
1770789528.68035412,47725069,1,224,80,-528,5,13,-18,0,0,0,1,47725069
1770789528.68035412,47725069,2,224,80,-528,5,13,-18,0,0,0,1,47725069
1770789528.78031397,47825029,0,224,80,-528,5,13,-18,0,0,0,1,47825029
1770789528.78031397,47825029,1,224,80,-528,5,13,-18,0,0,0,1,47825029
1770789528.78031397,47825029,2,224,80,-528,5,13,-18,0,0,0,1,47825029
1770789528.88027406,47924989,0,224,80,-528,5,13,-18,0,0,0,1,47924989
1770789528.88027406,47924989,1,224,80,-528,5,13,-18,0,0,0,1,47924989
1770789528.88027406,47924989,2,224,80,-528,5,13,-18,0,0,0,1,47924989
1770789528.98023415,48024949,0,224,80,-528,5,13,-18,0,0,0,1,48024949
1770789528.98023415,48024949,1,224,80,-528,5,13,-18,0,0,0,1,48024949
1770789528.98023415,48024949,2,224,80,-528,5,13,-18,0,0,0,1,48024949
1770789529.08019400,48124909,0,224,80,-528,5,13,-18,0,0,0,1,48124909
1770789529.08019400,48124909,1,224,80,-528,5,13,-18,0,0,0,1,48124909
1770789529.08019400,48124909,2,224,80,-528,5,13,-18,0,0,0,1,48124909
1770789529.18015409,48224869,0,224,80,-528,5,13,-18,0,0,0,1,48224869
1770789529.18015409,48224869,1,224,80,-528,5,13,-18,0,0,0,1,48224869
1770789529.18015409,48224869,2,224,80,-528,5,13,-18,0,0,0,1,48224869
1770789529.28011417,48324829,0,224,80,-528,5,13,-18,0,0,0,1,48324829
1770789529.28011417,48324829,1,224,80,-528,5,13,-18,0,0,0,1,48324829
1770789529.28011417,48324829,2,224,80,-528,5,13,-18,0,0,0,1,48324829
1770789529.38007402,48424789,0,224,80,-528,5,13,-18,0,0,0,1,48424789
1770789529.38007402,48424789,1,224,80,-528,5,13,-18,0,0,0,1,48424789
1770789529.38007402,48424789,2,224,80,-528,5,13,-18,0,0,0,1,48424789
1770789529.48003411,48524749,0,224,80,-528,5,13,-18,0,0,0,1,48524749
1770789529.48003411,48524749,1,224,80,-528,5,13,-18,0,0,0,1,48524749
1770789529.48003411,48524749,2,224,80,-528,5,13,-18,0,0,0,1,48524749
1770789529.57999396,48624709,0,224,80,-528,5,13,-18,0,0,0,1,48624709
1770789529.57999396,48624709,1,224,80,-528,5,13,-18,0,0,0,1,48624709
1770789529.57999396,48624709,2,224,80,-528,5,13,-18,0,0,0,1,48624709
1770789529.67995405,48724669,0,224,80,-528,5,13,-18,0,0,0,1,48724669
1770789529.67995405,48724669,1,224,80,-528,5,13,-18,0,0,0,1,48724669
1770789529.67995405,48724669,2,224,80,-528,5,13,-18,0,0,0,1,48724669
1770789529.77991414,48824629,0,224,80,-528,5,13,-18,0,0,0,1,48824629
1770789529.77991414,48824629,1,224,80,-528,5,13,-18,0,0,0,1,48824629
1770789529.77991414,48824629,2,224,80,-528,5,13,-18,0,0,0,1,48824629
1770789529.87987399,48924589,0,224,80,-528,5,13,-18,0,0,0,1,48924589
1770789529.87987399,48924589,1,224,80,-528,5,13,-18,0,0,0,1,48924589
1770789529.87987399,48924589,2,224,80,-528,5,13,-18,0,0,0,1,48924589
1770789529.97983408,49024549,0,224,80,-528,5,13,-18,0,0,0,1,49024549
1770789529.97983408,49024549,1,224,80,-528,5,13,-18,0,0,0,1,49024549
1770789529.97983408,49024549,2,224,80,-528,5,13,-18,0,0,0,1,49024549
1770789530.07979417,49124509,0,224,80,-528,5,13,-18,0,0,0,1,49124509
1770789530.07979417,49124509,1,224,80,-528,5,13,-18,0,0,0,1,49124509
1770789530.07979417,49124509,2,224,80,-528,5,13,-18,0,0,0,1,49124509
1770789530.17975402,49224469,0,224,80,-528,5,13,-18,0,0,0,1,49224469
1770789530.17975402,49224469,1,224,80,-528,5,13,-18,0,0,0,1,49224469
1770789530.17975402,49224469,2,224,80,-528,5,13,-18,0,0,0,1,49224469
1770789530.27971411,49324429,0,224,80,-528,5,13,-18,0,0,0,1,49324429
1770789530.27971411,49324429,1,224,80,-528,5,13,-18,0,0,0,1,49324429
1770789530.27971411,49324429,2,224,80,-528,5,13,-18,0,0,0,1,49324429
1770789530.37967396,49424389,0,224,80,-528,5,13,-18,0,0,0,1,49424389
1770789530.37967396,49424389,1,224,80,-528,5,13,-18,0,0,0,1,49424389
1770789530.37967396,49424389,2,224,80,-528,5,13,-18,0,0,0,1,49424389
1770789530.47963405,49524349,0,224,80,-528,5,13,-18,0,0,0,1,49524349
1770789530.47963405,49524349,1,224,80,-528,5,13,-18,0,0,0,1,49524349
1770789530.47963405,49524349,2,224,80,-528,5,13,-18,0,0,0,1,49524349
1770789530.58042717,49625142,0,224,80,-528,5,13,-18,0,0,0,1,49625142
1770789530.58042717,49625142,1,224,80,-528,5,13,-18,0,0,0,1,49625142
1770789530.58042717,49625142,2,224,80,-528,5,13,-18,0,0,0,1,49625142
1770789530.68038702,49725102,0,224,80,-528,5,13,-18,0,0,0,1,49725102
1770789530.68038702,49725102,1,224,80,-528,5,13,-18,0,0,0,1,49725102
1770789530.68038702,49725102,2,224,80,-528,5,13,-18,0,0,0,1,49725102
1770789530.78034711,49825062,0,224,80,-528,5,13,-18,0,0,0,1,49825062
1770789530.78034711,49825062,1,224,80,-528,5,13,-18,0,0,0,1,49825062
1770789530.78034711,49825062,2,224,80,-528,5,13,-18,0,0,0,1,49825062
1770789530.88030696,49925022,0,224,80,-528,5,13,-18,0,0,0,1,49925022
1770789530.88030696,49925022,1,224,80,-528,5,13,-18,0,0,0,1,49925022
1770789530.88030696,49925022,2,224,80,-528,5,13,-18,0,0,0,1,49925022
1770789530.98026705,50024982,0,224,80,-528,5,13,-18,0,0,0,1,50024982
1770789530.98026705,50024982,1,224,80,-528,5,13,-18,0,0,0,1,50024982
1770789530.98026705,50024982,2,224,80,-528,5,13,-18,0,0,0,1,50024982
1770789531.08022714,50124942,0,224,80,-528,5,13,-18,0,0,0,1,50124942
1770789531.08022714,50124942,1,224,80,-528,5,13,-18,0,0,0,1,50124942
1770789531.08022714,50124942,2,224,80,-528,5,13,-18,0,0,0,1,50124942
1770789531.18018699,50224902,0,224,80,-528,5,13,-18,0,0,0,1,50224902
1770789531.18018699,50224902,1,224,80,-528,5,13,-18,0,0,0,1,50224902
1770789531.18018699,50224902,2,224,80,-528,5,13,-18,0,0,0,1,50224902
1770789531.28014708,50324862,0,224,80,-528,5,13,-18,0,0,0,1,50324862
1770789531.28014708,50324862,1,224,80,-528,5,13,-18,0,0,0,1,50324862
1770789531.28014708,50324862,2,224,80,-528,5,13,-18,0,0,0,1,50324862
1770789531.38010716,50424822,0,224,80,-528,5,13,-18,0,0,0,1,50424822
1770789531.38010716,50424822,1,224,80,-528,5,13,-18,0,0,0,1,50424822
1770789531.38010716,50424822,2,224,80,-528,5,13,-18,0,0,0,1,50424822
1770789531.48006701,50524782,0,224,80,-528,5,13,-18,0,0,0,1,50524782
1770789531.48006701,50524782,1,224,80,-528,5,13,-18,0,0,0,1,50524782
1770789531.48006701,50524782,2,224,80,-528,5,13,-18,0,0,0,1,50524782
1770789531.58002710,50624742,0,224,80,-528,5,13,-18,0,0,0,1,50624742
1770789531.58002710,50624742,1,224,80,-528,5,13,-18,0,0,0,1,50624742
1770789531.58002710,50624742,2,224,80,-528,5,13,-18,0,0,0,1,50624742
1770789531.67998695,50724702,0,224,80,-528,5,13,-18,0,0,0,1,50724702
1770789531.67998695,50724702,1,224,80,-528,5,13,-18,0,0,0,1,50724702
1770789531.67998695,50724702,2,224,80,-528,5,13,-18,0,0,0,1,50724702
1770789531.77994704,50824662,0,224,80,-528,5,13,-18,0,0,0,1,50824662
1770789531.77994704,50824662,1,224,80,-528,5,13,-18,0,0,0,1,50824662
1770789531.77994704,50824662,2,224,80,-528,5,13,-18,0,0,0,1,50824662
1770789531.87990713,50924622,0,224,80,-528,5,13,-18,0,0,0,1,50924622
1770789531.87990713,50924622,1,224,80,-528,5,13,-18,0,0,0,1,50924622
1770789531.87990713,50924622,2,224,80,-528,5,13,-18,0,0,0,1,50924622
1770789531.97986698,51024582,0,224,80,-528,5,13,-18,0,0,0,1,51024582
1770789531.97986698,51024582,1,224,80,-528,5,13,-18,0,0,0,1,51024582
1770789531.97986698,51024582,2,224,80,-528,5,13,-18,0,0,0,1,51024582
1770789532.07982707,51124542,0,224,80,-528,5,13,-18,0,0,0,1,51124542
1770789532.07982707,51124542,1,224,80,-528,5,13,-18,0,0,0,1,51124542
1770789532.07982707,51124542,2,224,80,-528,5,13,-18,0,0,0,1,51124542
1770789532.17978716,51224502,0,224,80,-528,5,13,-18,0,0,0,1,51224502
1770789532.17978716,51224502,1,224,80,-528,5,13,-18,0,0,0,1,51224502
1770789532.17978716,51224502,2,224,80,-528,5,13,-18,0,0,0,1,51224502
1770789532.27974701,51324462,0,224,80,-528,5,13,-18,0,0,0,1,51324462
1770789532.27974701,51324462,1,224,80,-528,5,13,-18,0,0,0,1,51324462
1770789532.27974701,51324462,2,224,80,-528,5,13,-18,0,0,0,1,51324462
1770789532.37970710,51424422,0,224,80,-528,5,13,-18,0,0,0,1,51424422
1770789532.37970710,51424422,1,224,80,-528,5,13,-18,0,0,0,1,51424422
1770789532.37970710,51424422,2,224,80,-528,5,13,-18,0,0,0,1,51424422
1770789532.47966719,51524382,0,224,80,-528,5,13,-18,0,0,0,1,51524382
1770789532.47966719,51524382,1,224,80,-528,5,13,-18,0,0,0,1,51524382
1770789532.47966719,51524382,2,224,80,-528,5,13,-18,0,0,0,1,51524382
1770789532.57962704,51624342,0,224,80,-528,5,13,-18,0,0,0,1,51624342
1770789532.57962704,51624342,1,224,80,-528,5,13,-18,0,0,0,1,51624342
1770789532.57962704,51624342,2,224,80,-528,5,13,-18,0,0,0,1,51624342
1770789532.68042016,51725135,0,224,80,-528,5,13,-18,0,0,0,1,51725135
1770789532.68042016,51725135,1,224,80,-528,5,13,-18,0,0,0,1,51725135
1770789532.68042016,51725135,2,224,80,-528,5,13,-18,0,0,0,1,51725135
1770789532.78038001,51825095,0,224,80,-528,5,13,-18,0,0,0,1,51825095
1770789532.78038001,51825095,1,224,80,-528,5,13,-18,0,0,0,1,51825095
1770789532.78038001,51825095,2,224,80,-528,5,13,-18,0,0,0,1,51825095
1770789532.88034010,51925055,0,224,80,-528,5,13,-18,0,0,0,1,51925055
1770789532.88034010,51925055,1,224,80,-528,5,13,-18,0,0,0,1,51925055
1770789532.88034010,51925055,2,224,80,-528,5,13,-18,0,0,0,1,51925055
1770789532.98030019,52025015,0,224,80,-528,5,13,-18,0,0,0,1,52025015
1770789532.98030019,52025015,1,224,80,-528,5,13,-18,0,0,0,1,52025015
1770789532.98030019,52025015,2,224,80,-528,5,13,-18,0,0,0,1,52025015
1770789533.08026004,52124975,0,224,80,-528,5,13,-18,0,0,0,1,52124975
1770789533.08026004,52124975,1,224,80,-528,5,13,-18,0,0,0,1,52124975
1770789533.08026004,52124975,2,224,80,-528,5,13,-18,0,0,0,1,52124975
1770789533.18022013,52224935,0,224,80,-528,5,13,-18,0,0,0,1,52224935
1770789533.18022013,52224935,1,224,80,-528,5,13,-18,0,0,0,1,52224935
1770789533.18022013,52224935,2,224,80,-528,5,13,-18,0,0,0,1,52224935
1770789533.28017998,52324895,0,224,80,-528,5,13,-18,0,0,0,1,52324895
1770789533.28017998,52324895,1,224,80,-528,5,13,-18,0,0,0,1,52324895
1770789533.28017998,52324895,2,224,80,-528,5,13,-18,0,0,0,1,52324895
1770789533.38014007,52424855,0,224,80,-528,5,13,-18,0,0,0,1,52424855
