timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,AEKF
1770789525.36001611,44404731,0.04999999701976776,0.055085547268390656,0.03999999910593033,0.0431293249130249,0.0,352.948974609375,3
1770789525.40000010,44444715,0.04999999701976776,0.05531559884548187,0.03999999910593033,0.043295033276081085,0.0,352.948974609375,3
1770789525.43998408,44484699,0.04999999701976776,0.05522385239601135,0.03999999910593033,0.04339751973748207,0.0,352.9490051269531,3
1770789525.47996807,44524683,0.04999999701976776,0.055131301283836365,0.03999999910593033,0.04336998984217644,0.0,352.9490661621094,3
1770789525.51995206,44564667,0.04999999701976776,0.0550411082804203,0.03999999910593033,0.04338151589035988,0.0,352.94903564453125,3
1770789525.55993605,44604651,0.04999999701976776,0.055118441581726074,0.03999999910593033,0.043416984379291534,0.0,352.94903564453125,3
1770789525.59992003,44644635,0.04999999701976776,0.05512184277176857,0.03999999910593033,0.04360601678490639,0.0,352.9491271972656,3
1770789525.63990402,44684619,0.04999999701976776,0.05513697862625122,0.03999999910593033,0.043764639645814896,0.0,352.94915771484375,3
1770789525.67988801,44724603,0.04999999701976776,0.05508507415652275,0.03999999910593033,0.04379967600107193,0.0,352.9491882324219,3
1770789525.71987200,44764587,0.04999999701976776,0.055174898356199265,0.03999999910593033,0.04377055540680885,0.0,352.9492492675781,3
1770789525.75985599,44804571,0.04999999701976776,0.055337660014629364,0.03999999910593033,0.04388558119535446,0.0,352.94927978515625,3
1770789525.79983997,44844555,0.04999999701976776,0.05542802810668945,0.03999999910593033,0.043935637921094894,0.0,352.9492492675781,3
1770789525.83982396,44884539,0.04999999701976776,0.05541093647480011,0.03999999910593033,0.043943747878074646,0.0,352.9492492675781,3
1770789525.87980819,44924523,0.04999999701976776,0.05535171180963516,0.03999999910593033,0.043797604739665985,0.0,352.94921875,3
1770789525.91979218,44964507,0.04999999701976776,0.05541033670306206,0.03999999910593033,0.043691206723451614,0.0,352.94921875,3
1770789525.95977616,45004491,0.04999999701976776,0.05551888793706894,0.03999999910593033,0.04363461211323738,0.0,352.9493408203125,3
1770789525.99976015,45044475,0.04999999701976776,0.055684369057416916,0.03999999910593033,0.04382796213030815,0.0,352.9493408203125,3
1770789526.03974414,45084459,0.04999999701976776,0.05575760081410408,0.03999999910593033,0.04393051564693451,0.0,352.9493408203125,3
1770789526.07972813,45124443,0.04999999701976776,0.05565314739942551,0.03999999910593033,0.043888356536626816,0.0,352.94927978515625,3
1770789526.11971211,45164427,0.04999999701976776,0.05574912577867508,0.03999999910593033,0.04389936104416847,0.0,352.94921875,3
1770789526.15969610,45204411,0.04999999701976776,0.05586690083146095,0.03999999910593033,0.04398297891020775,0.0,352.9491882324219,3
1770789526.19968009,45244395,0.04999999701976776,0.05602998659014702,0.03999999910593033,0.04425111785531044,0.0,352.9493103027344,3
1770789526.23966408,45284379,0.04999999701976776,0.05606168136000633,0.03999999910593033,0.04441973194479942,0.0,352.9492492675781,3
1770789526.27964807,45324363,0.04999999701976776,0.05615537613630295,0.03999999910593033,0.04443748667836189,0.0,352.9493713378906,3
1770789526.31963205,45364347,0.04999999701976776,0.05624670535326004,0.03999999910593033,0.044492121785879135,0.0,352.94940185546875,3
1770789526.35961604,45404331,0.04999999701976776,0.05642681196331978,0.03999999910593033,0.044721364974975586,0.0,352.9494934082031,3
1770789526.39960003,45444315,0.04999999701976776,0.0566415935754776,0.03999999910593033,0.04494619369506836,0.0,352.94964599609375,3
1770789526.44041705,45485132,0.04999999701976776,0.056866731494665146,0.03999999910593033,0.04509109631180763,0.0,352.9496154785156,3
1770789526.48040104,45525116,0.04999999701976776,0.05703865364193916,0.03999999910593033,0.045224908739328384,0.0,352.9496154785156,3
1770789526.52038503,45565100,0.04999999701976776,0.0572117418050766,0.03999999910593033,0.04534948617219925,0.0,352.9495544433594,3
1770789526.56036901,45605084,0.04999999701976776,0.057318270206451416,0.03999999910593033,0.04560026153922081,0.0,352.949462890625,3
1770789526.60035300,45645068,0.04999999701976776,0.05767807736992836,0.03999999910593033,0.045906536281108856,0.0,352.949462890625,3
1770789526.64033699,45685052,0.04999999701976776,0.05786502733826637,0.03999999910593033,0.046090684831142426,0.0,352.9494934082031,3
1770789526.68032098,45725036,0.04999999701976776,0.057965464890003204,0.03999999910593033,0.04635727033019066,0.0,352.94952392578125,3
1770789526.72030497,45765020,0.04999999701976776,0.05818333104252815,0.03999999910593033,0.04657818749547005,0.0,352.9495544433594,3
1770789526.76028895,45805004,0.04999999701976776,0.058471012860536575,0.03999999910593033,0.046841759234666824,0.0,352.9494934082031,3
1770789526.80027318,45844988,0.04999999701976776,0.0588260218501091,0.03999999910593033,0.047290317714214325,0.0,352.949462890625,3
1770789526.84025717,45884972,0.04999999701976776,0.05911046266555786,0.03999999910593033,0.04759432375431061,0.0,352.9493408203125,3
1770789526.88024116,45924956,0.04999999701976776,0.05934876948595047,0.03999999910593033,0.04797908663749695,0.0,352.9493713378906,3
1770789526.92022514,45964940,0.04999999701976776,0.05964364483952522,0.03999999910593033,0.04812854155898094,0.0,352.9493713378906,3
1770789526.96020913,46004924,0.05999999865889549,0.060017891228199005,0.03999999910593033,0.048537030816078186,0.0,352.94940185546875,3
1770789527.00019312,46044908,0.05999999865889549,0.06063307449221611,0.03999999910593033,0.04894212633371353,0.0,352.9495544433594,3
1770789527.04017711,46084892,0.05999999865889549,0.06096655875444412,0.03999999910593033,0.04926757887005806,0.0,352.9494323730469,3
1770789527.08016109,46124876,0.05999999865889549,0.061350464820861816,0.03999999910593033,0.04973224177956581,0.0,352.9494934082031,3
1770789527.12014508,46164860,0.05999999865889549,0.06167092174291611,0.04999999701976776,0.050079356878995895,0.0,352.9493408203125,3
1770789527.16012907,46204844,0.05999999865889549,0.062050677835941315,0.04999999701976776,0.050453443080186844,0.0,352.9492492675781,3
1770789527.20011306,46244828,0.05999999865889549,0.06256790459156036,0.04999999701976776,0.05091490224003792,0.0,352.9492492675781,3
1770789527.24009705,46284812,0.05999999865889549,0.06282669305801392,0.04999999701976776,0.05127853527665138,0.0,352.9490051269531,3
1770789527.28008103,46324796,0.05999999865889549,0.06330757588148117,0.04999999701976776,0.05169976130127907,0.0,352.9488830566406,3
1770789527.32006502,46364780,0.05999999865889549,0.06360886991024017,0.04999999701976776,0.05206054821610451,0.0,352.9488830566406,3
1770789527.36004901,46404764,0.05999999865889549,0.06410059332847595,0.04999999701976776,0.05250723659992218,0.0,352.9488220214844,3
1770789527.40003300,46444748,0.05999999865889549,0.06460321694612503,0.04999999701976776,0.052926771342754364,0.0,352.9487609863281,3
1770789527.44001698,46484732,0.05999999865889549,0.06506684422492981,0.04999999701976776,0.05352352559566498,0.0,352.9486083984375,3
1770789527.48000097,46524716,0.05999999865889549,0.0654928982257843,0.04999999701976776,0.05396958813071251,0.0,352.9483947753906,3
1770789527.51998496,46564700,0.05999999865889549,0.0658688098192215,0.04999999701976776,0.054372452199459076,0.0,352.9482421875,3
1770789527.55996919,46604684,0.05999999865889549,0.06629633903503418,0.04999999701976776,0.05479542165994644,0.0,352.9482116699219,3
1770789527.59995317,46644668,0.05999999865889549,0.06662438809871674,0.04999999701976776,0.05516909807920456,0.0,352.9483947753906,3
1770789527.63993716,46684652,0.05999999865889549,0.06691628694534302,0.04999999701976776,0.05570988357067108,0.0,352.9483337402344,3
